RPT;GNT;SAL;SDN;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
R4;G5;T0;25;0;0;0;0;5;4;4;4;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R4;G1;T0;25;0;0;0;0;0;0;0;6;1;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;G6;T0;25;0;0;0;0;0;2;8;4;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R4;G3;T0;25;0;0;0;0;0;4;1;3;1;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;G4;T0;25;0;0;0;0;0;0;3;6;2;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R4;G2;T0;25;0;0;0;0;4;1;1;6;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R4;G5;T3;25;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
R4;G6;T3;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R4;G3;T3;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;G4;T3;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;G2;T3;25;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
R4;G5;T1;25;0;0;0;0;0;1;2;4;2;3;1;0;1;0;2;5;0;0;0;0;0;0;0;0;0;0
R4;G1;T1;25;0;0;0;0;0;2;2;1;1;2;0;1;1;3;1;4;0;0;0;0;0;0;0;0;0;0
R4;G6;T1;25;0;0;0;0;0;0;3;3;3;1;5;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0
R4;G3;T1;25;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;G4;T1;25;0;0;0;0;0;0;1;3;2;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
R4;G2;T1;25;0;0;0;0;0;0;0;13;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
